Date,Sales
2023-01-01,108
2023-01-02,256
2023-01-03,339
2023-01-04,257
2023-01-05,273
2023-01-06,431
2023-01-07,138
2023-01-08,239
2023-01-09,244
2023-01-10,446
2023-01-11,411
2023-01-12,211
2023-01-13,195
2023-01-14,419
2023-01-15,197
2023-01-16,305
2023-01-17,133
2023-01-18,256
2023-01-19,351
2023-01-20,440
2023-01-21,196
2023-01-22,150
2023-01-23,347
2023-01-24,247
2023-01-25,313
2023-01-26,117
2023-01-27,153
2023-01-28,312
2023-01-29,402
2023-01-30,278
2023-01-31,191
2023-02-01,348
2023-02-02,229
2023-02-03,270
2023-02-04,422
2023-02-05,427
2023-02-06,227
2023-02-07,480
2023-02-08,348
2023-02-09,181
2023-02-10,352
2023-02-11,372
2023-02-12,349
2023-02-13,296
2023-02-14,325
2023-02-15,256
2023-02-16,386
2023-02-17,457
2023-02-18,312
2023-02-19,451
2023-02-20,114
2023-02-21,439
2023-02-22,227
2023-02-23,265
2023-02-24,226
2023-02-25,331
2023-02-26,497
2023-02-27,145
2023-02-28,400
2023-03-01,274
2023-03-02,401
2023-03-03,465
2023-03-04,401
2023-03-05,371
2023-03-06,341
2023-03-07,246
2023-03-08,249
2023-03-09,204
2023-03-10,232
2023-03-11,344
2023-03-12,266
2023-03-13,166
2023-03-14,207
2023-03-15,277
2023-03-16,167
2023-03-17,279
2023-03-18,329
2023-03-19,498
2023-03-20,100
2023-03-21,444
2023-03-22,306
2023-03-23,367
2023-03-24,408
2023-03-25,398
2023-03-26,375
2023-03-27,370
2023-03-28,360
2023-03-29,418
2023-03-30,342
2023-03-31,473
2023-04-01,184
2023-04-02,385
2023-04-03,189
2023-04-04,378
2023-04-05,243
2023-04-06,157
2023-04-07,221
2023-04-08,312
2023-04-09,314
2023-04-10,445
2023-04-11,289
2023-04-12,414
2023-04-13,485
2023-04-14,255
2023-04-15,434
2023-04-16,485
2023-04-17,307
2023-04-18,306
2023-04-19,403
2023-04-20,474
2023-04-21,460
2023-04-22,328
2023-04-23,236
2023-04-24,412
2023-04-25,462
2023-04-26,458
2023-04-27,357
2023-04-28,495
2023-04-29,217
2023-04-30,115
2023-05-01,302
2023-05-02,451
2023-05-03,442
2023-05-04,302
2023-05-05,395
2023-05-06,304
2023-05-07,214
2023-05-08,136
2023-05-09,484
2023-05-10,214
2023-05-11,358
2023-05-12,288
2023-05-13,359
2023-05-14,291
2023-05-15,205
2023-05-16,264
2023-05-17,221
2023-05-18,494
2023-05-19,315
2023-05-20,420
2023-05-21,429
2023-05-22,125
2023-05-23,321
2023-05-24,294
2023-05-25,136
2023-05-26,297
2023-05-27,138
2023-05-28,400
2023-05-29,475
2023-05-30,361
2023-05-31,183
2023-06-01,133
2023-06-02,349
2023-06-03,335
2023-06-04,183
2023-06-05,377
2023-06-06,330
2023-06-07,173
2023-06-08,437
2023-06-09,372
2023-06-10,439
2023-06-11,490
2023-06-12,383
2023-06-13,397
2023-06-14,200
2023-06-15,121
2023-06-16,415
2023-06-17,481
2023-06-18,139
2023-06-19,121
2023-06-20,172
2023-06-21,485
2023-06-22,297
2023-06-23,390
2023-06-24,212
2023-06-25,467
2023-06-26,368
2023-06-27,361
2023-06-28,434
2023-06-29,395
2023-06-30,383
2023-07-01,353
2023-07-02,353
2023-07-03,274
2023-07-04,306
2023-07-05,186
2023-07-06,196
2023-07-07,441
2023-07-08,286
2023-07-09,269
2023-07-10,174
2023-07-11,271
2023-07-12,271
2023-07-13,284
2023-07-14,237
2023-07-15,270
2023-07-16,151
2023-07-17,494
2023-07-18,115
2023-07-19,258
